,time,type,key,slot,player_slot,id,avg_mmr,unit
0,83,chatwheel,69,7,130,6632109711,3137,
1,156,chatwheel,63,1,1,6632109711,3137,
2,163,chatwheel,104004,3,3,6632109711,3137,
3,201,chat,?,8,131,6632109711,3137,
4,319,chatwheel,62,0,0,6632109711,3137,
5,351,chatwheel,71,1,1,6632109711,3137,
6,351,chatwheel,71,1,1,6632109711,3137,
7,355,chatwheel,71,1,1,6632109711,3137,
8,356,chatwheel,71,1,1,6632109711,3137,
9,490,chatwheel,71,9,132,6632109711,3137,
10,561,chatwheel,71,9,132,6632109711,3137,
11,561,chatwheel,71,9,132,6632109711,3137,
12,616,chatwheel,71,9,132,6632109711,3137,
13,616,chatwheel,71,9,132,6632109711,3137,
14,670,chatwheel,71,2,2,6632109711,3137,
15,693,chatwheel,61,2,2,6632109711,3137,
16,759,chatwheel,75,8,131,6632109711,3137,
17,759,chatwheel,75,8,131,6632109711,3137,
18,850,chatwheel,114001,0,0,6632109711,3137,
19,940,chatwheel,2,3,3,6632109711,3137,
20,959,chatwheel,2,0,0,6632109711,3137,
21,960,chatwheel,2,0,0,6632109711,3137,
22,1095,chatwheel,7,3,3,6632109711,3137,
23,1097,chatwheel,90,3,3,6632109711,3137,
24,1104,chatwheel,7,1,1,6632109711,3137,
25,1603,chatwheel,63,1,1,6632109711,3137,
26,1680,chatwheel,9010,7,130,6632109711,3137,
27,1772,chatwheel,7,1,1,6632109711,3137,
28,1801,chatwheel,2,3,3,6632109711,3137,
29,1885,chatwheel,9010,7,130,6632109711,3137,
30,1958,chatwheel,9010,7,130,6632109711,3137,
31,2130,chatwheel,9010,7,130,6632109711,3137,
32,2132,chatwheel,7,5,128,6632109711,3137,
33,2179,chatwheel,61,2,2,6632109711,3137,
34,2217,chatwheel,113002,9,132,6632109711,3137,
35,2218,chatwheel,76,5,128,6632109711,3137,
36,2222,chatwheel,113004,9,132,6632109711,3137,
0,-74,chatwheel,20001,7,130,6632109606,3378,
1,-71,chatwheel,104002,8,131,6632109606,3378,
2,-48,chatwheel,20003,7,130,6632109606,3378,
3,44,chatwheel,20001,7,130,6632109606,3378,
4,58,chatwheel,83009,5,128,6632109606,3378,
5,61,chatwheel,40005,3,3,6632109606,3378,
6,101,chatwheel,50,5,128,6632109606,3378,
7,227,chatwheel,400022,7,130,6632109606,3378,
8,230,chatwheel,40004,3,3,6632109606,3378,
9,242,chatwheel,71,0,0,6632109606,3378,
10,323,chatwheel,71,8,131,6632109606,3378,
11,334,chatwheel,11,0,0,6632109606,3378,
12,366,chatwheel,71,5,128,6632109606,3378,
13,402,chatwheel,11,0,0,6632109606,3378,
14,442,chatwheel,71,8,131,6632109606,3378,
15,460,chatwheel,7,8,131,6632109606,3378,
16,460,chatwheel,11,0,0,6632109606,3378,
17,503,chat,gg,0,0,6632109606,3378,
18,507,chat,gg,1,1,6632109606,3378,
19,509,chat,lmao,1,1,6632109606,3378,
20,509,chatwheel,76,5,128,6632109606,3378,
21,512,chatwheel,40006,3,3,6632109606,3378,
22,527,chat,humiliation,1,1,6632109606,3378,
23,529,chatwheel,40006,3,3,6632109606,3378,
0,-79,chat,hard game,7,130,6632109506,1074,
1,-72,chat,you're smurfing stfu,1,1,6632109506,1074,
2,-63,chat,yes,8,131,6632109506,1074,
3,-60,chat,haha,8,131,6632109506,1074,
4,-59,chat,lol,7,130,6632109506,1074,
5,-54,chatwheel,129001,8,131,6632109506,1074,
6,21,chatwheel,35001,9,132,6632109506,1074,
7,24,chatwheel,129001,8,131,6632109506,1074,
8,377,chatwheel,71,7,130,6632109506,1074,
9,377,chatwheel,71,7,130,6632109506,1074,
10,378,chatwheel,71,1,1,6632109506,1074,
11,394,chatwheel,129001,8,131,6632109506,1074,
12,464,chatwheel,71,1,1,6632109506,1074,
13,464,chatwheel,71,1,1,6632109506,1074,
14,513,chatwheel,71,7,130,6632109506,1074,
15,513,chatwheel,71,7,130,6632109506,1074,
16,520,chatwheel,71,7,130,6632109506,1074,
17,520,chatwheel,71,7,130,6632109506,1074,
18,532,chatwheel,22001,1,1,6632109506,1074,
19,532,chat,:(,7,130,6632109506,1074,
20,593,chat,:(,7,130,6632109506,1074,
21,630,chatwheel,71,4,4,6632109506,1074,
22,631,chatwheel,71,4,4,6632109506,1074,
23,650,chatwheel,1,9,132,6632109506,1074,
24,659,chatwheel,5,8,131,6632109506,1074,
25,716,chat,",miss ult :(",7,130,6632109506,1074,
26,719,chat,sry,7,130,6632109506,1074,
27,776,chatwheel,22001,1,1,6632109506,1074,
28,823,chatwheel,7,8,131,6632109506,1074,
29,854,chatwheel,2,9,132,6632109506,1074,
30,881,chatwheel,22003,1,1,6632109506,1074,
31,887,chatwheel,413,5,128,6632109506,1074,
