,time,type,key,slot,player_slot,id,avg_mmr
0,-34,chatwheel,71,8,131,6660609704,3366
1,-34,chatwheel,71,8,131,6660609704,3366
2,87,chatwheel,76,2,2,6660609704,3366
3,116,chatwheel,7,3,3,6660609704,3366
4,121,chatwheel,76,2,2,6660609704,3366
5,125,chatwheel,412,6,129,6660609704,3366
6,131,chat,Suportre pudge o melkhor kakakaka,2,2,6660609704,3366
7,132,chat,GGWP,2,2,6660609704,3366
8,133,chat,Acabem ,2,2,6660609704,3366
9,166,chatwheel,27001,6,129,6660609704,3366
10,269,chatwheel,104001,3,3,6660609704,3366
11,326,chatwheel,27002,6,129,6660609704,3366
12,371,chatwheel,412,6,129,6660609704,3366
13,377,chat,AgreDECA A VITORIA AO PUDGE SUPORTE 5,2,2,6660609704,3366
14,404,chatwheel,71,8,131,6660609704,3366
15,404,chatwheel,71,8,131,6660609704,3366
16,413,chatwheel,27002,6,129,6660609704,3366
17,438,chat,stupid,1,1,6660609704,3366
18,450,chatwheel,71,8,131,6660609704,3366
19,450,chatwheel,71,8,131,6660609704,3366
20,473,chatwheel,71,6,129,6660609704,3366
21,485,chat,PUDG 2 FITAS EOLICA KAKAKAKAKA,2,2,6660609704,3366
22,637,chatwheel,71,8,131,6660609704,3366
23,638,chatwheel,71,8,131,6660609704,3366
24,640,chatwheel,71,8,131,6660609704,3366
25,679,chatwheel,27002,6,129,6660609704,3366
26,945,chatwheel,27001,6,129,6660609704,3366
27,974,chatwheel,413,6,129,6660609704,3366
28,979,chat,ez dms,6,129,6660609704,3366
29,1022,chatwheel,412,6,129,6660609704,3366
30,1046,chatwheel,412,6,129,6660609704,3366
31,1058,chatwheel,71,6,129,6660609704,3366
32,1150,chatwheel,76,3,3,6660609704,3366
33,1184,chatwheel,412,6,129,6660609704,3366
34,1185,chatwheel,14001,4,4,6660609704,3366
35,1195,chatwheel,27001,6,129,6660609704,3366
36,1238,chatwheel,104001,3,3,6660609704,3366
37,1239,chatwheel,104001,3,3,6660609704,3366
38,1388,chat,ahahahha ESSE E MEU SUIPORTE DEDICADO,2,2,6660609704,3366
39,1549,chatwheel,71,8,131,6660609704,3366
40,1591,chatwheel,7,2,2,6660609704,3366
41,1591,chatwheel,7,2,2,6660609704,3366
42,1643,chatwheel,76,2,2,6660609704,3366
43,1650,chat,PUDGE SUP5 good,2,2,6660609704,3366
44,1661,chat,LA VAI ELE,2,2,6660609704,3366
45,1667,chat,akekeakeakea PUDGE SUP5,2,2,6660609704,3366
46,1673,chat,kkkk,7,130,6660609704,3366
47,1677,chat,SO ACABA,2,2,6660609704,3366
48,1679,chat,GG DIRETO,2,2,6660609704,3366
49,1688,chat,NECRO RUSH AGHAMIN SUP4,2,2,6660609704,3366
50,1693,chat,gg DIRETO,2,2,6660609704,3366
51,1697,chatwheel,14002,4,4,6660609704,3366
52,1698,chatwheel,14002,4,4,6660609704,3366
53,1699,chat,"mds , o cara nao para",0,0,6660609704,3366
54,1703,chat,falando o jogo inteiro,0,0,6660609704,3366
55,1709,chat,e ele que desistiu de jogar,0,0,6660609704,3366
56,1803,chatwheel,76,2,2,6660609704,3366
57,1816,chat,izi bb hc,3,3,6660609704,3366
58,1823,chatwheel,14001,4,4,6660609704,3366
59,1828,chat,esse pudge é terrivel,9,132,6660609704,3366
60,1829,chat,keep mid 2-6,3,3,6660609704,3366
61,1830,chat,DHUSAHUDASHUDA,3,3,6660609704,3366
62,1831,chat,SOU PUDGE SUP5,2,2,6660609704,3366
63,1836,chatwheel,14001,4,4,6660609704,3366
64,1850,chat,"commend my team, crregaram me",7,130,6660609704,3366
65,1851,chat,gg,8,131,6660609704,3366
66,1854,chat,DHUSAUHDHUASHUDHUAS,3,3,6660609704,3366
67,1856,chat,COOMEND pudge SUP5,2,2,6660609704,3366
0,9,chatwheel,40040,3,3,6661179504,2662
1,10,chatwheel,40040,3,3,6661179504,2662
2,21,chatwheel,54,4,4,6661179504,2662
3,50,chatwheel,71,2,2,6661179504,2662
4,154,chatwheel,2,4,4,6661179504,2662
5,170,chatwheel,71001,7,130,6661179504,2662
6,171,chatwheel,71001,7,130,6661179504,2662
7,203,chatwheel,71,5,128,6661179504,2662
8,203,chatwheel,71,5,128,6661179504,2662
9,214,chatwheel,1,7,130,6661179504,2662
10,261,chatwheel,71,3,3,6661179504,2662
11,363,chatwheel,71,2,2,6661179504,2662
12,363,chatwheel,71,2,2,6661179504,2662
13,435,chatwheel,71,2,2,6661179504,2662
14,439,chatwheel,71,5,128,6661179504,2662
15,439,chatwheel,71,5,128,6661179504,2662
16,462,chatwheel,71,2,2,6661179504,2662
17,604,chat,hasad,5,128,6661179504,2662
18,611,chat,sad,5,128,6661179504,2662
19,627,chatwheel,62,2,2,6661179504,2662
20,704,chatwheel,71001,7,130,6661179504,2662
21,726,chatwheel,71,5,128,6661179504,2662
22,726,chatwheel,71,5,128,6661179504,2662
23,737,chatwheel,71,5,128,6661179504,2662
24,755,chatwheel,8,4,4,6661179504,2662
25,775,chatwheel,11,8,131,6661179504,2662
26,784,chatwheel,71,0,0,6661179504,2662
27,784,chatwheel,71,0,0,6661179504,2662
28,912,chatwheel,62,2,2,6661179504,2662
29,945,chatwheel,1,7,130,6661179504,2662
30,1178,chatwheel,141204,3,3,6661179504,2662
31,1544,chatwheel,71001,7,130,6661179504,2662
32,1545,chatwheel,71001,7,130,6661179504,2662
33,1621,chatwheel,141204,3,3,6661179504,2662
34,1624,chatwheel,141202,3,3,6661179504,2662
35,1666,chatwheel,104002,4,4,6661179504,2662
36,1967,chatwheel,141204,3,3,6661179504,2662
37,2064,chat,boty,4,4,6661179504,2662
38,2066,chat,def,4,4,6661179504,2662
39,2073,chat,NO,7,130,6661179504,2662
40,2078,chat,kill only the fucking lion,7,130,6661179504,2662
41,2080,chat,ok,4,4,6661179504,2662
42,2088,chat,already lose ,7,130,6661179504,2662
43,2091,chat,coz this pl,7,130,6661179504,2662
44,2095,chat,we can't control him,7,130,6661179504,2662
45,2126,chat,why didnt ur team counter him with last pick?,2,2,6661179504,2662
46,2224,chat,SAD,7,130,6661179504,2662
47,2266,chatwheel,141204,3,3,6661179504,2662
48,2267,chatwheel,141203,3,3,6661179504,2662
0,-88,chatwheel,41003,7,130,6661179315,6396
1,-88,chatwheel,41003,7,130,6661179315,6396
2,-49,chatwheel,140998,2,2,6661179315,6396
3,-48,chatwheel,140998,2,2,6661179315,6396
4,-48,chatwheel,65001,4,4,6661179315,6396
5,-27,chatwheel,0,9,132,6661179315,6396
6,-24,chatwheel,0,9,132,6661179315,6396
7,116,chatwheel,7,3,3,6661179315,6396
8,266,chatwheel,140998,2,2,6661179315,6396
9,271,chatwheel,140998,2,2,6661179315,6396
10,322,chatwheel,71,4,4,6661179315,6396
11,369,chatwheel,7,6,129,6661179315,6396
12,391,chatwheel,140998,2,2,6661179315,6396
13,445,chatwheel,71,5,128,6661179315,6396
14,499,chatwheel,71,1,1,6661179315,6396
15,524,chatwheel,141051,5,128,6661179315,6396
16,525,chatwheel,141051,5,128,6661179315,6396
17,528,chatwheel,63,7,130,6661179315,6396
18,632,chatwheel,140998,2,2,6661179315,6396
19,632,chatwheel,140998,2,2,6661179315,6396
20,642,chatwheel,2,2,2,6661179315,6396
21,643,chatwheel,2,2,2,6661179315,6396
22,724,chatwheel,80,8,131,6661179315,6396
23,739,chatwheel,7,4,4,6661179315,6396
24,828,chatwheel,80,8,131,6661179315,6396
25,837,chatwheel,136002,0,0,6661179315,6396
26,914,chatwheel,140998,2,2,6661179315,6396
27,916,chatwheel,140998,2,2,6661179315,6396
28,1012,chatwheel,135001,5,128,6661179315,6396
29,1012,chatwheel,135001,5,128,6661179315,6396
30,1017,chatwheel,2,2,2,6661179315,6396
31,1023,chatwheel,7,4,4,6661179315,6396
32,1084,chatwheel,140998,2,2,6661179315,6396
33,1085,chatwheel,140998,2,2,6661179315,6396
34,1107,chatwheel,71,4,4,6661179315,6396
35,1107,chatwheel,71,4,4,6661179315,6396
36,1186,chatwheel,71,4,4,6661179315,6396
37,1209,chatwheel,135001,5,128,6661179315,6396
38,1210,chatwheel,135001,5,128,6661179315,6396
39,1219,chatwheel,140998,2,2,6661179315,6396
40,1219,chatwheel,2,2,2,6661179315,6396
41,1266,chatwheel,2,7,130,6661179315,6396
42,1266,chatwheel,2,7,130,6661179315,6396
43,1298,chatwheel,136002,0,0,6661179315,6396
44,1302,chatwheel,71,2,2,6661179315,6396
45,1320,chatwheel,140998,2,2,6661179315,6396
46,1323,chatwheel,140998,2,2,6661179315,6396
47,1367,chatwheel,135001,5,128,6661179315,6396
48,1367,chatwheel,2,7,130,6661179315,6396
49,1367,chatwheel,2,7,130,6661179315,6396
50,1449,chatwheel,140998,2,2,6661179315,6396
51,1449,chatwheel,140998,2,2,6661179315,6396
52,1451,chatwheel,140999,4,4,6661179315,6396
53,1453,chatwheel,140999,4,4,6661179315,6396
54,1465,chatwheel,7,5,128,6661179315,6396
55,1492,chatwheel,141051,5,128,6661179315,6396
56,1493,chatwheel,141050,5,128,6661179315,6396
57,1534,chatwheel,140998,2,2,6661179315,6396
58,1535,chatwheel,140998,2,2,6661179315,6396
59,1583,chatwheel,71,2,2,6661179315,6396
60,1584,chatwheel,71,2,2,6661179315,6396
61,1623,chatwheel,2,7,130,6661179315,6396
62,1650,chatwheel,60,7,130,6661179315,6396
63,1651,chatwheel,136002,0,0,6661179315,6396
64,1652,chatwheel,7,4,4,6661179315,6396
65,1739,chatwheel,71,2,2,6661179315,6396
66,1739,chatwheel,71,2,2,6661179315,6396
67,1746,chatwheel,0,7,130,6661179315,6396
68,1797,chatwheel,71,7,130,6661179315,6396
69,1797,chatwheel,71,7,130,6661179315,6396
70,1893,chatwheel,71,4,4,6661179315,6396
71,1900,chatwheel,71,9,132,6661179315,6396
72,1900,chatwheel,71,8,131,6661179315,6396
73,1932,chatwheel,2,9,132,6661179315,6396
74,1955,chatwheel,2,6,129,6661179315,6396
75,1957,chatwheel,92001,6,129,6661179315,6396
76,1976,chatwheel,71,0,0,6661179315,6396
77,1976,chatwheel,71,0,0,6661179315,6396
78,2047,chatwheel,71,6,129,6661179315,6396
79,2180,chatwheel,140998,2,2,6661179315,6396
80,2181,chatwheel,140998,2,2,6661179315,6396
81,2201,chatwheel,71,7,130,6661179315,6396
82,2201,chatwheel,71,7,130,6661179315,6396
83,2226,chatwheel,140999,4,4,6661179315,6396
84,2227,chatwheel,65001,4,4,6661179315,6396
85,2231,chatwheel,141051,5,128,6661179315,6396
86,2241,chatwheel,35002,3,3,6661179315,6396
87,2244,chatwheel,136002,0,0,6661179315,6396
88,2244,chatwheel,35003,3,3,6661179315,6396
