,time,type,key,slot,player_slot,id,avg_mmr
0,-67,chatwheel,440,2,2,6948754100,3602
1,-65,chatwheel,468,2,2,6948754100,3602
2,-58,chatwheel,453,1,1,6948754100,3602
3,-50,chatwheel,466,1,1,6948754100,3602
4,843,chatwheel,71,0,0,6948754100,3602
5,2263,chatwheel,76,4,4,6948754100,3602
6,2265,chatwheel,76,3,3,6948754100,3602
7,2270,chat,ggwp,8,131,6948754100,3602
8,2270,chat,gg,2,2,6948754100,3602
0,-81,chatwheel,51001,8,131,6935210809,3619
1,-79,chatwheel,70002,6,129,6935210809,3619
2,-79,chatwheel,473,8,131,6935210809,3619
3,-74,chat,gl,8,131,6935210809,3619
4,-64,chat,merry christmast,8,131,6935210809,3619
5,-56,chat,merry christmas all!,9,132,6935210809,3619
6,-54,chat,ok,1,1,6935210809,3619
7,-53,chatwheel,14007,4,4,6935210809,3619
8,-51,chatwheel,14004,4,4,6935210809,3619
9,-48,chat,ptangina niyo padin,6,129,6935210809,3619
10,-48,chatwheel,51001,8,131,6935210809,3619
11,-48,chat,"christmas dota, what better way to celebrate",9,132,6935210809,3619
12,-48,chatwheel,1004,2,2,6935210809,3619
13,-46,chat,lahat,6,129,6935210809,3619
14,-43,chatwheel,1002,2,2,6935210809,3619
15,-41,chatwheel,1003,2,2,6935210809,3619
16,-36,chat,am galingan mo ha,6,129,6935210809,3619
17,-34,chatwheel,1001,2,2,6935210809,3619
18,-30,chat,yeah because fuck family,4,4,6935210809,3619
19,-22,chat,isa kapa pudge galingan mo ptangina ka,6,129,6935210809,3619
20,-20,chatwheel,51001,8,131,6935210809,3619
21,-17,chatwheel,579,8,131,6935210809,3619
22,-15,chatwheel,473,8,131,6935210809,3619
23,-13,chatwheel,442,6,129,6935210809,3619
24,-10,chatwheel,442,6,129,6935210809,3619
25,5,chatwheel,51001,8,131,6935210809,3619
26,10,chatwheel,15001,5,128,6935210809,3619
27,16,chatwheel,442,9,132,6935210809,3619
28,19,chatwheel,86004,9,132,6935210809,3619
29,25,chatwheel,86001,9,132,6935210809,3619
30,27,chatwheel,86002,9,132,6935210809,3619
31,118,chatwheel,7,6,129,6935210809,3619
32,199,chatwheel,7,6,129,6935210809,3619
33,213,chatwheel,7,6,129,6935210809,3619
34,244,chatwheel,86003,9,132,6935210809,3619
35,311,chatwheel,2,8,131,6935210809,3619
36,311,chatwheel,2,8,131,6935210809,3619
37,338,chatwheel,62,6,129,6935210809,3619
38,361,chatwheel,62,6,129,6935210809,3619
39,369,chatwheel,62,8,131,6935210809,3619
40,390,chatwheel,63,6,129,6935210809,3619
41,393,chatwheel,10,0,0,6935210809,3619
42,393,chatwheel,10,0,0,6935210809,3619
43,475,chatwheel,10,0,0,6935210809,3619
44,475,chatwheel,10,0,0,6935210809,3619
45,488,chatwheel,10,0,0,6935210809,3619
46,488,chatwheel,10,0,0,6935210809,3619
47,490,chatwheel,71,5,128,6935210809,3619
48,497,chatwheel,71,5,128,6935210809,3619
49,501,chatwheel,86002,9,132,6935210809,3619
50,510,chatwheel,10,0,0,6935210809,3619
51,534,chatwheel,86002,9,132,6935210809,3619
52,550,chatwheel,15001,5,128,6935210809,3619
53,574,chatwheel,86002,9,132,6935210809,3619
54,603,chatwheel,6,0,0,6935210809,3619
55,604,chatwheel,6,0,0,6935210809,3619
56,681,chatwheel,71,6,129,6935210809,3619
57,689,chatwheel,51001,8,131,6935210809,3619
58,690,chatwheel,86002,9,132,6935210809,3619
59,1065,chatwheel,51001,8,131,6935210809,3619
60,1163,chatwheel,65,5,128,6935210809,3619
61,1165,chatwheel,69,5,128,6935210809,3619
62,1324,chatwheel,6,6,129,6935210809,3619
63,1324,chatwheel,6,6,129,6935210809,3619
64,1384,chatwheel,1,6,129,6935210809,3619
65,1475,chatwheel,6,6,129,6935210809,3619
66,1514,chatwheel,2,6,129,6935210809,3619
67,1514,chatwheel,2,6,129,6935210809,3619
68,1515,chatwheel,2,8,131,6935210809,3619
69,1563,chatwheel,86003,9,132,6935210809,3619
70,1646,chatwheel,62,8,131,6935210809,3619
71,1658,chatwheel,51001,8,131,6935210809,3619
72,1743,chatwheel,2,6,129,6935210809,3619
73,1850,chatwheel,51001,8,131,6935210809,3619
74,1851,chatwheel,51001,8,131,6935210809,3619
75,1852,chat,XD,6,129,6935210809,3619
76,1914,chatwheel,2,8,131,6935210809,3619
77,1922,chatwheel,2,8,131,6935210809,3619
78,2061,chatwheel,2,6,129,6935210809,3619
79,2061,chatwheel,2,6,129,6935210809,3619
80,2069,chatwheel,2,6,129,6935210809,3619
81,2083,chatwheel,2,6,129,6935210809,3619
82,2084,chatwheel,2,6,129,6935210809,3619
83,2086,chatwheel,2,6,129,6935210809,3619
84,2124,chatwheel,7,6,129,6935210809,3619
85,2212,chatwheel,51001,8,131,6935210809,3619
86,2212,chatwheel,86003,9,132,6935210809,3619
87,2212,chatwheel,86003,9,132,6935210809,3619
88,2218,chatwheel,79,8,131,6935210809,3619
89,2304,chatwheel,86002,9,132,6935210809,3619
90,2319,chat,GG,6,129,6935210809,3619
91,2321,chat,EZ AM,6,129,6935210809,3619
92,2328,chat,haha,2,2,6935210809,3619
93,2333,chatwheel,15002,5,128,6935210809,3619
94,2339,chat,ez ,2,2,6935210809,3619
95,2408,chat,lol usa,2,2,6935210809,3619
96,2412,chatwheel,2,8,131,6935210809,3619
97,2412,chatwheel,2,8,131,6935210809,3619
98,2417,chat, go win am,6,129,6935210809,3619
99,2421,chat,why you so ngo,2,2,6935210809,3619
100,2427,chat,just win ^^,6,129,6935210809,3619
101,2430,chatwheel,71,9,132,6935210809,3619
102,2430,chatwheel,71,9,132,6935210809,3619
103,2437,chatwheel,2,8,131,6935210809,3619
104,2437,chatwheel,2,8,131,6935210809,3619
105,2503,chatwheel,7,6,129,6935210809,3619
106,2525,chatwheel,86002,9,132,6935210809,3619
107,2526,chatwheel,86003,9,132,6935210809,3619
108,2588,chat,win:>,2,2,6935210809,3619
109,2592,chat,wow bb,2,2,6935210809,3619
110,2595,chat,conme,2,2,6935210809,3619
111,2602,chat,item for kill sup5 wp ursa,3,3,6935210809,3619
112,2606,chat,WOWW,2,2,6935210809,3619
113,2608,chat,?,4,4,6935210809,3619
114,2609,chat,win me plssssssssssss,2,2,6935210809,3619
115,2610,chat,XD,4,4,6935210809,3619
116,2610,chat,wowwwwwwwww,2,2,6935210809,3619
117,2610,chat,XD,1,1,6935210809,3619
118,2615,chat,Gg wp,5,128,6935210809,3619
119,2617,chat,gg ursa,0,0,6935210809,3619
120,2620,chat,rport who,3,3,6935210809,3619
121,2621,chat,it ok u got rampage,1,1,6935210809,3619
122,2622,chatwheel,15002,5,128,6935210809,3619
123,2623,chat,so idolt toxic,2,2,6935210809,3619
124,2624,chat,ez every1,6,129,6935210809,3619
125,2630,chatwheel,473,8,131,6935210809,3619
126,2632,chatwheel,473,8,131,6935210809,3619
127,2633,chat,ez,2,2,6935210809,3619
128,2634,chatwheel,473,3,3,6935210809,3619
129,2637,chat,eiei,2,2,6935210809,3619
130,2638,chat,am so bad,6,129,6935210809,3619
131,2639,chatwheel,473,3,3,6935210809,3619
132,2639,chat,lol,6,129,6935210809,3619
133,2639,chat,win me pls,2,2,6935210809,3619
134,2640,chat,ezzz,2,2,6935210809,3619
135,2646,chat,rub cant steel fissure?,1,1,6935210809,3619
136,2654,chat,cant steal hook,4,4,6935210809,3619
137,2658,chat,wowwwwwwwww,2,2,6935210809,3619
138,2662,chat,1 vs 5,2,2,6935210809,3619
139,2663,chat,ez,2,2,6935210809,3619
0,339,chatwheel,71,0,0,6947358311,2113
1,403,chatwheel,2,2,2,6947358311,2113
2,404,chatwheel,6,2,2,6947358311,2113
3,456,chatwheel,71,7,130,6947358311,2113
4,456,chatwheel,71,7,130,6947358311,2113
5,497,chatwheel,71,9,132,6947358311,2113
6,497,chatwheel,71,9,132,6947358311,2113
7,578,chatwheel,7,2,2,6947358311,2113
8,801,chatwheel,71,7,130,6947358311,2113
9,801,chatwheel,71,7,130,6947358311,2113
10,1001,chat,haha damn ur so fucking bad bro,4,4,6947358311,2113
11,1002,chat,seriously,4,4,6947358311,2113
12,1017,chat,np,8,131,6947358311,2113
13,1516,chatwheel,3,9,132,6947358311,2113
14,1594,chatwheel,5,2,2,6947358311,2113
15,1624,chatwheel,3,9,132,6947358311,2113
16,1624,chatwheel,3,9,132,6947358311,2113
17,2296,chat,gg,2,2,6947358311,2113
18,2502,chatwheel,71,7,130,6947358311,2113
19,2611,chat,bad but i have team ,8,131,6947358311,2113
20,2613,chat,ez mid ,8,131,6947358311,2113
21,2616,chat,HAHAHAAHAH,4,4,6947358311,2113
22,2618,chat,EZ MID?,4,4,6947358311,2113
0,112,chatwheel,71,9,132,6947477204,3613
1,280,chatwheel,71,8,131,6947477204,3613
2,281,chatwheel,71,8,131,6947477204,3613
3,664,chatwheel,71,4,4,6947477204,3613
4,682,chatwheel,71,4,4,6947477204,3613
5,801,chatwheel,71,4,4,6947477204,3613
6,979,chatwheel,71,4,4,6947477204,3613
7,1385,chatwheel,71,4,4,6947477204,3613
8,1786,chatwheel,71,4,4,6947477204,3613
9,2310,chatwheel,71,4,4,6947477204,3613
0,-17,chatwheel,9001,5,128,6948545314,4129
1,32,chatwheel,8001,7,130,6948545314,4129
2,78,chatwheel,509,4,4,6948545314,4129
3,85,chatwheel,583,7,130,6948545314,4129
4,129,chatwheel,16001,9,132,6948545314,4129
5,158,chatwheel,2,9,132,6948545314,4129
6,158,chatwheel,2,9,132,6948545314,4129
7,184,chatwheel,7,9,132,6948545314,4129
8,188,chatwheel,71,7,130,6948545314,4129
9,192,chatwheel,71,7,130,6948545314,4129
10,192,chatwheel,71,7,130,6948545314,4129
11,216,chatwheel,9,7,130,6948545314,4129
12,216,chatwheel,71,5,128,6948545314,4129
13,256,chatwheel,2,9,132,6948545314,4129
14,256,chatwheel,71,6,129,6948545314,4129
15,256,chatwheel,71,6,129,6948545314,4129
16,256,chatwheel,2,9,132,6948545314,4129
17,261,chatwheel,71,1,1,6948545314,4129
18,292,chatwheel,71,6,129,6948545314,4129
19,292,chatwheel,71,6,129,6948545314,4129
20,327,chatwheel,7,9,132,6948545314,4129
21,336,chatwheel,11,9,132,6948545314,4129
22,353,chatwheel,2,9,132,6948545314,4129
23,353,chatwheel,2,9,132,6948545314,4129
24,356,chatwheel,9,7,130,6948545314,4129
25,371,chatwheel,71,1,1,6948545314,4129
26,404,chatwheel,2,7,130,6948545314,4129
27,419,chatwheel,11,9,132,6948545314,4129
28,420,chatwheel,11,9,132,6948545314,4129
29,433,chatwheel,71,7,130,6948545314,4129
30,438,chatwheel,11,9,132,6948545314,4129
31,456,chatwheel,11,9,132,6948545314,4129
32,458,chatwheel,71,9,132,6948545314,4129
33,460,chatwheel,8,5,128,6948545314,4129
34,464,chatwheel,11,9,132,6948545314,4129
35,482,chatwheel,2,6,129,6948545314,4129
36,503,chatwheel,71,7,130,6948545314,4129
37,504,chatwheel,71,7,130,6948545314,4129
38,509,chatwheel,509,4,4,6948545314,4129
39,513,chatwheel,464,6,129,6948545314,4129
40,527,chatwheel,71,5,128,6948545314,4129
41,599,chatwheel,11,9,132,6948545314,4129
42,606,chatwheel,71,5,128,6948545314,4129
43,626,chatwheel,71,9,132,6948545314,4129
44,646,chatwheel,11,9,132,6948545314,4129
45,651,chatwheel,464,6,129,6948545314,4129
46,681,chatwheel,7,9,132,6948545314,4129
47,778,chatwheel,2,9,132,6948545314,4129
48,846,chatwheel,8,5,128,6948545314,4129
49,853,chatwheel,71,5,128,6948545314,4129
50,862,chatwheel,7,9,132,6948545314,4129
51,862,chatwheel,11,5,128,6948545314,4129
52,878,chatwheel,7,5,128,6948545314,4129
53,884,chatwheel,65001,6,129,6948545314,4129
54,897,chatwheel,509,4,4,6948545314,4129
55,899,chatwheel,1,9,132,6948545314,4129
56,914,chatwheel,1,9,132,6948545314,4129
57,941,chatwheel,7,9,132,6948545314,4129
58,981,chatwheel,8,9,132,6948545314,4129
59,1006,chatwheel,7,9,132,6948545314,4129
60,1024,chatwheel,583,7,130,6948545314,4129
61,1029,chatwheel,467,7,130,6948545314,4129
62,1154,chatwheel,470,6,129,6948545314,4129
63,1156,chatwheel,470,6,129,6948545314,4129
64,1158,chatwheel,7,9,132,6948545314,4129
65,1196,chatwheel,7,5,128,6948545314,4129
66,1229,chatwheel,7,9,132,6948545314,4129
67,1232,chatwheel,467,7,130,6948545314,4129
68,1239,chatwheel,9001,5,128,6948545314,4129
69,1244,chatwheel,2,7,130,6948545314,4129
70,1273,chatwheel,9,9,132,6948545314,4129
71,1352,chatwheel,2,9,132,6948545314,4129
72,1353,chatwheel,2,9,132,6948545314,4129
73,1355,chatwheel,8001,7,130,6948545314,4129
74,1355,chatwheel,9001,5,128,6948545314,4129
75,1371,chatwheel,9001,5,128,6948545314,4129
76,1371,chatwheel,16001,9,132,6948545314,4129
77,1393,chatwheel,6,7,130,6948545314,4129
78,1393,chatwheel,62,9,132,6948545314,4129
79,1447,chatwheel,583,7,130,6948545314,4129
80,1456,chatwheel,464,6,129,6948545314,4129
81,1479,chatwheel,467,7,130,6948545314,4129
82,1480,chatwheel,470,6,129,6948545314,4129
83,1522,chatwheel,2,7,130,6948545314,4129
84,1526,chatwheel,8001,7,130,6948545314,4129
85,1559,chatwheel,9001,5,128,6948545314,4129
86,1601,chatwheel,3,7,130,6948545314,4129
87,1629,chatwheel,8001,7,130,6948545314,4129
88,1706,chatwheel,76,7,130,6948545314,4129
89,1714,chatwheel,464,6,129,6948545314,4129
90,1717,chat,AHAH,7,130,6948545314,4129
91,1723,chatwheel,9001,5,128,6948545314,4129
92,1724,chatwheel,440,5,128,6948545314,4129
93,1737,chatwheel,288,9,132,6948545314,4129
94,1769,chatwheel,464,6,129,6948545314,4129
95,1776,chatwheel,440,5,128,6948545314,4129
96,1793,chatwheel,62,9,132,6948545314,4129
97,1793,chatwheel,62,9,132,6948545314,4129
98,1824,chat,gg,4,4,6948545314,4129
99,1839,chatwheel,464,6,129,6948545314,4129
100,1843,chatwheel,467,7,130,6948545314,4129
101,1857,chatwheel,288,9,132,6948545314,4129
102,1859,chatwheel,440,5,128,6948545314,4129
103,1873,chat,TREANT COSPLAY?,5,128,6948545314,4129
104,1879,chatwheel,440,5,128,6948545314,4129
105,1881,chatwheel,8001,7,130,6948545314,4129
106,1921,chatwheel,509,4,4,6948545314,4129
107,1921,chatwheel,583,7,130,6948545314,4129
108,1923,chatwheel,440,5,128,6948545314,4129
0,-67,chatwheel,15002,0,0,6934199618,3613
1,-54,chatwheel,15001,0,0,6934199618,3613
2,30,chatwheel,15001,0,0,6934199618,3613
3,32,chatwheel,581,0,0,6934199618,3613
4,33,chatwheel,586,2,2,6934199618,3613
5,61,chatwheel,15001,0,0,6934199618,3613
6,92,chatwheel,476,0,0,6934199618,3613
7,145,chatwheel,71,8,131,6934199618,3613
8,146,chatwheel,15002,0,0,6934199618,3613
9,168,chatwheel,586,2,2,6934199618,3613
10,174,chatwheel,15001,0,0,6934199618,3613
11,208,chatwheel,15001,0,0,6934199618,3613
12,235,chatwheel,581,0,0,6934199618,3613
13,261,chatwheel,581,0,0,6934199618,3613
14,296,chatwheel,71,5,128,6934199618,3613
15,302,chatwheel,586,2,2,6934199618,3613
16,307,chatwheel,71,1,1,6934199618,3613
17,307,chatwheel,71,1,1,6934199618,3613
18,315,chatwheel,76,8,131,6934199618,3613
19,338,chatwheel,581,0,0,6934199618,3613
20,351,chatwheel,15001,0,0,6934199618,3613
21,356,chatwheel,400002,0,0,6934199618,3613
22,395,chatwheel,71,9,132,6934199618,3613
23,402,chatwheel,7,0,0,6934199618,3613
24,405,chatwheel,400002,0,0,6934199618,3613
25,408,chatwheel,15001,0,0,6934199618,3613
26,408,chatwheel,15001,0,0,6934199618,3613
27,452,chatwheel,2,0,0,6934199618,3613
28,452,chatwheel,7,0,0,6934199618,3613
29,465,chatwheel,15001,0,0,6934199618,3613
30,465,chatwheel,15001,0,0,6934199618,3613
31,502,chatwheel,15002,0,0,6934199618,3613
32,543,chatwheel,71,2,2,6934199618,3613
33,543,chatwheel,71,2,2,6934199618,3613
34,644,chatwheel,15002,0,0,6934199618,3613
35,646,chatwheel,15001,0,0,6934199618,3613
36,703,chatwheel,15001,0,0,6934199618,3613
37,726,chatwheel,15001,0,0,6934199618,3613
38,728,chatwheel,468,0,0,6934199618,3613
39,736,chatwheel,2,0,0,6934199618,3613
40,757,chatwheel,465,0,0,6934199618,3613
41,787,chatwheel,15002,0,0,6934199618,3613
42,787,chatwheel,15002,0,0,6934199618,3613
43,792,chatwheel,476,0,0,6934199618,3613
44,864,chatwheel,400002,0,0,6934199618,3613
45,905,chatwheel,15001,0,0,6934199618,3613
46,913,chatwheel,15001,0,0,6934199618,3613
