,time,type,key,slot,player_slot,id,avg_mmr,unit
0,-80,chat,"ебать я посрав гарненько тіки пацани ви би знали, мій сусід в наушніках почув сказав розйоб",9,132,6938536102,6011,габен меня замути
1,-49,chatwheel,54002,9,132,6938536102,6011,
2,-22,chat,на вр еблан какой то звуки несвязные издает,9,132,6938536102,6011,габен меня замути
3,435,chatwheel,71,2,2,6938536102,6011,
4,435,chatwheel,71,2,2,6938536102,6011,
5,463,chatwheel,71,2,2,6938536102,6011,
6,484,chatwheel,62,1,1,6938536102,6011,
7,550,chatwheel,71,8,131,6938536102,6011,
8,803,chatwheel,71,2,2,6938536102,6011,
9,1050,chatwheel,54002,9,132,6938536102,6011,
10,1052,chatwheel,54002,9,132,6938536102,6011,
11,1092,chatwheel,62,1,1,6938536102,6011,
12,1440,chatwheel,65001,1,1,6938536102,6011,
13,1440,chatwheel,65002,1,1,6938536102,6011,
14,1503,chatwheel,54002,9,132,6938536102,6011,
15,1504,chatwheel,54002,9,132,6938536102,6011,
16,1523,chatwheel,65001,1,1,6938536102,6011,
17,1602,chat,)),8,131,6938536102,6011,
18,1611,chat,огр соло,3,3,6938536102,6011,
19,1618,chat,2 13,3,3,6938536102,6011,
20,1635,chat,reported ogre mid,6,129,6938536102,6011,
21,1700,chat,ahahaah,8,131,6938536102,6011,
22,1724,chatwheel,65001,1,1,6938536102,6011,
23,1725,chatwheel,65002,1,1,6938536102,6011,
24,1732,chatwheel,65,1,1,6938536102,6011,
25,1806,chatwheel,54002,9,132,6938536102,6011,
26,1807,chatwheel,54002,9,132,6938536102,6011,
27,1835,chat,report 2-15 mid ogre,6,129,6938536102,6011,
28,1842,chatwheel,65002,1,1,6938536102,6011,
29,1843,chatwheel,65002,1,1,6938536102,6011,
30,1867,chatwheel,579,0,0,6938536102,6011,
31,1867,chatwheel,76,0,0,6938536102,6011,
0,-87,chatwheel,69001,5,128,6950742604,3805,
1,-84,chatwheel,93001,7,130,6950742604,3805,
2,-83,chatwheel,93001,7,130,6950742604,3805,
3,-81,chatwheel,455,7,130,6950742604,3805,
4,-80,chatwheel,455,7,130,6950742604,3805,
